question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_first_diff,model_avg_diff,selected_baseline_diff,final_calibrated_diff,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,selected_change,final_change_vs_avg,route,boundary_action,baseline_policy,baseline_score_source,task_type,upper_consensus_eligible,result_correctness_signal,method_evidence_signal,lenient_undercredit_signal,unsupported_high_score_risk,rule_hits
Q7,E12314149,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314145,6.0,6.0,6.3,6.3,6.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,0.25,0.2,0.0301,0.0,direct_only_high_score_risk
Q7,E12314157,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,0.5,0.6,0.0176,0.16,weak_result_high_score_review;direct_only_high_score_risk;high_score_safety_review
Q7,E12314161,8.0,7.0,6.3,6.3,6.3,-1.0,-1.7,-1.7,-1.7,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,0.5,0.6,0.0668,0.0,
Q7,E12314153,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,0.0,0.0,0.0,0.0,direct_only_high_score_risk
Q7,E12314165,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314169,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314181,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314177,6.0,9.0,8.2,8.2,8.2,3.0,2.2,2.2,2.2,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,False,0.75,0.8,0.0204,0.123,high_score_safety_review
Q7,E12314185,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314189,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314193,10.0,7.5,7.8,7.8,7.8,-2.5,-2.2,-2.2,-2.2,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0795,0.0,high_score_safety_review
Q7,E12314201,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314205,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314213,5.0,4.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,0.0,0.0,0.0,0.0,
Q7,E12314209,5.0,4.0,5.0,5.0,4.3,-1.0,0.0,0.0,-0.7,0.0,-0.7,-0.7,same,worsened,BND,small_lower,model_avg,model_avg_score,calculation_derivation,False,0.0,0.0,0.0,0.0,direct_only_high_score_risk
Q7,E12314217,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,WA2324049,9.0,10.0,9.8,9.8,9.8,1.0,0.8,0.8,0.8,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,False,1.0,1.0,0.0,0.0,
Q7,E12314221,8.0,7.0,7.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,False,0.5,0.6,0.0492,0.14,weak_result_high_score_review;direct_only_high_score_risk
